PMS Code,PMS Code Description,$ Value,Reporting Category,Active/Inactive,Dose Count
100-297,Feline W/D 3.85kg,49.72,Diet Manufacturers - Hill's,active,0
100-297,Feline W/D 3.85kg,49.72,Revenue Profit Categories - Diet Revenue,active,0
65-313,Nexgard Spectra Purple 15.1-30kg perTab,33.25,Revenue Profit Categories - Drug and Medications,active,1
105-23,Rayne Feline KGR Maint Can 156gr,4.13,Revenue Profit Categories - Diet Revenue,active,0
65-313,Nexgard Spectra Purple 15.1-30kg perTab,33.25,Parasiticides_External - NexGard,active,1
1-665,Complete Osurnia Tx Per Ear w/ Meds,72.92,Revenue Profit Categories - Drug and Medications,active,0
65-234,Advantage Multi single vial red,21.23,Revenue Profit Categories - Drug and Medications,inactive,1
65-234,Advantage Multi single vial red,21.23,Parasiticides_Combo - Advantage Multi,inactive,1
1-665,Complete Osurnia Tx Per Ear w/ Meds,72.92,Medication Breakout: Otics - Osurnia,active,0
1-665,Complete Osurnia Tx Per Ear w/ Meds,72.92,Medication Breakout - Otics,active,0
65-252,Trifexis Orange 270mg Per Tablet,21.92,Revenue Profit Categories - Drug and Medications,active,1
16-33,Laceration Repair per 10 min,99.23,Revenue Profit Categories - Surgery,active,0
65-252,Trifexis Orange 270mg Per Tablet,21.92,Parasiticides_Combo - Trifexis,active,1
54-18,Ursodiol 50mg,1.17,Revenue Profit Categories - Drug and Medications,active,0
17-5,Multiple Extractions <10 less than 20 mi,146.3,Revenue Profit Categories - Dentistry,active,0
70-323,Glandex Peanut Butter (30),32.92,Revenue Profit Categories - Over The Counter,active,0
56-322,Prednisolone 5mg Chew,1.13,Revenue Profit Categories - Drug and Medications,active,0
12-11,Cholesterol - Add on,49.1,Revenue Profit Categories - Lab (external),active,0
56-322,Prednisolone 5mg Chew,1.13,Medication Breakout - Derm,active,0
12-417,Bromide Test,157.55,Revenue Profit Categories - Lab (external),active,0
12-500,Cytology (slide)with Desc. - 1 Site,81.95,Revenue Profit Categories - Lab (external),active,0
16-214,Biopsy,94.5,Revenue Profit Categories - Surgery,active,0
40-4,Euthanasia No Charge,0.0,Revenue Profit Categories - Euthanasia & Cremation,active,0
85-2,Douxo Calm Emulsion Spray 200ml,34.77,Revenue Profit Categories - Drug and Medications,active,0
85-2,Douxo Calm Emulsion Spray 200ml,34.77,Medication Breakout - Derm,active,0
51-200,Rimadyl 75mg Chewable Tablet,2.34,Revenue Profit Categories - Drug and Medications,active,0
40-111,Euthanasia Rabbit,41.0,Revenue Profit Categories - Euthanasia & Cremation,active,0
51-200,Rimadyl 75mg Chewable Tablet,2.34,Medication Breakout - Pain,active,0
70-137,Omegapro 3 Softgels Large/Giant (90),28.62,Revenue Profit Categories - Over The Counter,active,0
52-200,Metronidazole 25mg Tablet,0.37,Revenue Profit Categories - Drug and Medications,active,0
6-320,Microlax Treatment,24.3,Revenue Profit Categories - Professional Services (Other),active,0
67-30,Imaverol per ml,1.3,Revenue Profit Categories - Injections,active,0
12-616,Free T4 - Add on,83.95,Revenue Profit Categories - Lab (external),active,0
93-303,RC K9 Dental 8kg,79.75,Diet Manufacturers - Royal Canin,active,0
93-303,RC K9 Dental 8kg,79.75,Revenue Profit Categories - Diet Revenue,active,0
12-521,Senior Panel w/ Spec CPL,243.65,Revenue Profit Categories - Lab (external),active,0
101-14,Siphotrol 2000,35.11,Revenue Profit Categories - Over The Counter,active,0
51-210,Gabapentin 20mg Tablet,0.51,Revenue Profit Categories - Drug and Medications,active,0
51-210,Gabapentin 20mg Tablet,0.51,Medication Breakout - Pain,active,0
12-521,Senior Panel w/ Spec CPL,243.65,Testing - Wellness Bloodwork,active,0
68-10,Acepromazine 5mg Tablet,0.84,Revenue Profit Categories - Drug and Medications,active,0
12-106,Testosterone by RIA,221.6,Revenue Profit Categories - Lab (external),active,0
65-209,Rev. K9 Single Vial - Brown,17.82,Revenue Profit Categories - Drug and Medications,inactive,1
57-15,Vetmedin Caps 1.25mg,0.93,Revenue Profit Categories - Drug and Medications,active,0
65-209,Rev. K9 Single Vial - Brown,17.82,Parasiticides_Combo - Revolution,inactive,1
65-314,Nexgard Spectra Red 30.1-60kg per Tab,33.83,Revenue Profit Categories - Drug and Medications,active,1
65-314,Nexgard Spectra Red 30.1-60kg per Tab,33.83,Parasiticides_External - NexGard,active,1
28-1,InterferonAlpha-2B 300iu/ml,0.4,Revenue Profit Categories - Injections,active,0
54-38,Sulcrate Suspension per ml,0.29,Revenue Profit Categories - Drug and Medications,active,0
93-11,RC K9 Urinary SO - Can,4.31,Diet Manufacturers - Royal Canin,active,0
93-11,RC K9 Urinary SO - Can,4.31,Revenue Profit Categories - Diet Revenue,active,0
93-215,RC FE Hypoallergenic - Can,2.85,Diet Manufacturers - Royal Canin,active,0
93-383,RC K9 Satiety + Hypo HP 3kg,58.78,Diet Manufacturers - Royal Canin,active,0
93-383,RC K9 Satiety + Hypo HP 3kg,58.78,Revenue Profit Categories - Diet Revenue,active,0
93-215,RC FE Hypoallergenic - Can,2.85,Revenue Profit Categories - Diet Revenue,active,0
302-9,Fructosamine - In house add on,35.9,Revenue Profit Categories - Lab (in-house),active,0
3-211,Bordetella Vaccine Injectable,28.3,Revenue Profit Categories - Vaccines,active,0
3-211,Bordetella Vaccine Injectable,28.3,Vaccinations - Bordetella,active,0
12-35,Blood Culture/Joint Fluid Culture,182.78,Revenue Profit Categories - Lab (external),active,0
100-304,Feline C/D Urinary Stress 1.8kg,34.18,Diet Manufacturers - Hill's,active,0
100-304,Feline C/D Urinary Stress 1.8kg,34.18,Revenue Profit Categories - Diet Revenue,active,0
71-37,CET Veggie Dent Chews Regular,26.51,Revenue Profit Categories - Over The Counter,inactive,0
93-422,RC K9 Urinary SO Mod Calorie 8kg,76.58,Diet Manufacturers - Royal Canin,inactive,0
93-422,RC K9 Urinary SO Mod Calorie 8kg,76.58,Revenue Profit Categories - Diet Revenue,inactive,0
93-297,RC K9 Dental 3.5kg,39.86,Diet Manufacturers - Royal Canin,active,0
93-297,RC K9 Dental 3.5kg,39.86,Revenue Profit Categories - Diet Revenue,active,0
301-55,Senior Profile + Urine (True North),168.65,Revenue Profit Categories - Lab (external),active,0
11-103,Intra-Ocular Pressure Repeat,23.52,Revenue Profit Categories - Diagnostic Imaging,active,0
301-55,Senior Profile + Urine (True North),168.65,Testing - Wellness Bloodwork,active,0
102-338,Shipping Charges,0.0,Revenue Profit Categories - Professional Services (Other),active,0
600-100,Gift Certificate Redemption,0.0,Revenue Profit Categories - Professional Services (Other),active,0
7-70,Metoclopramide Inj 5mg/ml per ml,7.79,Revenue Profit Categories - Injections,active,0
600-11,Goodwill Discount,0.0,Revenue Profit Categories - Discounts,active,0
63-102,Voltaren 0.1% Drop,50.88,Revenue Profit Categories - Drug and Medications,active,0
93-314,RC K9 Development - Can,4.02,Diet Manufacturers - Royal Canin,active,0
93-314,RC K9 Development - Can,4.02,Revenue Profit Categories - Diet Revenue,active,0
102-315,Pill Pockets Duck & Pea K9 Large 6.6oz,13.69,Revenue Profit Categories - Over The Counter,active,0
7-36,Famotidine Inj per ml,11.65,Revenue Profit Categories - Injections,active,0
100-328,Canine W/D Chicken Stew 156gr Can,3.23,Diet Manufacturers - Hill's,active,0
100-328,Canine W/D Chicken Stew 156gr Can,3.23,Revenue Profit Categories - Diet Revenue,active,0
93-282,RC FE Calm 4kg,60.06,Diet Manufacturers - Royal Canin,active,0
93-282,RC FE Calm 4kg,60.06,Revenue Profit Categories - Diet Revenue,active,0
12-44,Vaccine Titrel by IFA (Distemper/Parvo),182.15,Revenue Profit Categories - Lab (external),active,0
14-48,Feline Mature Charge,60.1,Revenue Profit Categories - Surgery,active,0
102-29,Syringe 20cc,1.66,Revenue Profit Categories - Over The Counter,active,0
12-778,Insulin Panel,243.65,Revenue Profit Categories - Lab (external),active,0
40-20,Private Cremation 131-160lbs (mother of,412.6,Revenue Profit Categories - Euthanasia & Cremation,active,0
100-527,Canine Metabolic 7.98kg,103.56,Diet Manufacturers - Hill's,active,0
100-527,Canine Metabolic 7.98kg,103.56,Revenue Profit Categories - Diet Revenue,active,0
102-511,Aerokat/Aerodawg Chamber,86.15,Revenue Profit Categories - Over The Counter,active,0
6-72,Fine Needle Aspirate,53.2,Revenue Profit Categories - Lab (in-house),active,0
17-51,Dental Scale & Polish Grade 3 - (Add on),209.4,Revenue Profit Categories - Dentistry,active,0
12-255,Feline ADRChek Plus w/ Spec fPL,249.8,Revenue Profit Categories - Lab (external),active,0
50-16,Cerenia 160mg per pill,13.15,Revenue Profit Categories - Drug and Medications,active,0
7-376,Baytril Inj 100mg/ml per ml,2.0,Revenue Profit Categories - Injections,active,0
16-10,Electrocautery Surgery Per 10 min,72.6,Revenue Profit Categories - Surgery,active,0
100-296,Feline W/D - Can,2.5,Diet Manufacturers - Hill's,active,0
100-296,Feline W/D - Can,2.5,Revenue Profit Categories - Diet Revenue,active,0
12-303,Senior Panel & Urinalysis,249.8,Revenue Profit Categories - Lab (external),active,0
102-187,Pet Kaddy,11.3,Revenue Profit Categories - Over The Counter,active,0
12-303,Senior Panel & Urinalysis,249.8,Testing - Wellness Bloodwork,active,0
93-460,RC K9 Urinary SO MOD CAL 3.5kg,57.09,Diet Manufacturers - Royal Canin,active,0
93-460,RC K9 Urinary SO MOD CAL 3.5kg,57.09,Revenue Profit Categories - Diet Revenue,active,0
56-301,PREDNISOLONE 15mg/ml,2.07,Revenue Profit Categories - Drug and Medications,inactive,0
107-11,Aluminum Hydroxide 150mg/Scoop (30),28.56,Revenue Profit Categories - Drug and Medications,active,0
56-301,PREDNISOLONE 15mg/ml,2.07,Medication Breakout - Derm,inactive,0
93-300,RC K9 Adult - Can,3.97,Diet Manufacturers - Royal Canin,active,0
93-300,RC K9 Adult - Can,3.97,Revenue Profit Categories - Diet Revenue,active,0
65-206,Rev. Puppy/Kitten - Single Vial,15.93,Revenue Profit Categories - Drug and Medications,inactive,1
14-720,Canine Mature Charge 21-40kg,143.37,Revenue Profit Categories - Surgery,active,0
65-206,Rev. Puppy/Kitten - Single Vial,15.93,Parasiticides_Combo - Revolution,inactive,1
51-213,Apo-Meloxicam 1.5mg/ml 32ml,32.72,Revenue Profit Categories - Drug and Medications,active,0
51-213,Apo-Meloxicam 1.5mg/ml 32ml,32.72,Medication Breakout - Pain,active,0
51-41,Metacam Feline 3 ml,21.79,Revenue Profit Categories - Drug and Medications,active,0
301-187,Felv/Fiv Add On (True North),65.9,Revenue Profit Categories - Lab (external),active,0
105-40,Rayne Canine CKD Can,5.49,Revenue Profit Categories - Diet Revenue,active,0
51-41,Metacam Feline 3 ml,21.79,Medication Breakout - Pain,active,0
6-64,Thoracocentesis,76.55,Revenue Profit Categories - Diagnostic Imaging,active,0
103-3,"Antibiotics - canine, to go home",30.0,Revenue Profit Categories - Drug and Medications,active,0
11-300,Urine Drug Test,47.58,Revenue Profit Categories - Lab (in-house),active,0
60-4,Furosemide tablets 20mg,0.09,Revenue Profit Categories - Drug and Medications,active,0
9-12,Daytime Hospitalization - Isolation Care,80.3,Revenue Profit Categories - Hospitalization,active,0
64-69,Triz EDT Ear Flush per ml,0.09,Revenue Profit Categories - Drug and Medications,active,0
64-69,Triz EDT Ear Flush per ml,0.09,Medication Breakout - Otics,active,0
93-706,RC K9 Select Protein KO 8kg,75.6,Diet Manufacturers - Royal Canin,active,0
12-737,BUN/C Test,95.6,Revenue Profit Categories - Lab (in-house),active,0
93-706,RC K9 Select Protein KO 8kg,75.6,Revenue Profit Categories - Diet Revenue,active,0
93-7,RC K9 Urinary SO 1.5kg,21.74,Diet Manufacturers - Royal Canin,active,0
16-16,Remove I.M. Pin,94.5,Revenue Profit Categories - Surgery,active,0
16-100,Tail Docking (Infant) - per pup,75.0,Revenue Profit Categories - Surgery,active,0
16-207,Biopsy - Intestinal,284.3,Revenue Profit Categories - Surgery,active,0
65-26,Milbemax 4 mg per Tablet,7.49,Revenue Profit Categories - Drug and Medications,active,1
65-26,Milbemax 4 mg per Tablet,7.49,Parasiticides_Internal - Milbemax,active,1
56-20,PREDNISOLONE 5mg tablets,0.18,Revenue Profit Categories - Drug and Medications,active,0
16-62,Stenotic Nares Correction (both),304.08,Revenue Profit Categories - Surgery,active,0
56-20,PREDNISOLONE 5mg tablets,0.18,Medication Breakout - Derm,active,0
150-1,SPCA - Dog Spay Voucher,50.0,Revenue Profit Categories - Surgery,active,0
71-5,CET Dual-ended toothbrush,9.43,Revenue Profit Categories - Over The Counter,active,0
93-279,RC FE Satiety Support 3.5kg,63.16,Diet Manufacturers - Royal Canin,active,0
93-279,RC FE Satiety Support 3.5kg,63.16,Revenue Profit Categories - Diet Revenue,active,0
93-332,RC K9 Skin Care 4kg,46.6,Diet Manufacturers - Royal Canin,active,0
93-332,RC K9 Skin Care 4kg,46.6,Revenue Profit Categories - Diet Revenue,active,0
40-110,Spawts Fur Match - Custom Color,15.0,Revenue Profit Categories - Euthanasia & Cremation,active,0
6-14,Urethral/Bladder Flush per 10 minutes,57.9,Revenue Profit Categories - Professional Services (Other),active,0
16-9,Limb Amputation,744.35,Revenue Profit Categories - Surgery,active,0
23-13,Feline Bath and Brush,49.2,Revenue Profit Categories - Grooming,active,0
102-47,Pure Bites K9 Beef 57gr,7.65,Revenue Profit Categories - Over The Counter,active,0
12-133,FreeT4/TSH add on,143.39,Revenue Profit Categories - Lab (external),active,0
600-59,Senior Month Discount,0.0,Revenue Profit Categories - Discounts,active,0
102-554,Air Bumper Collar-Medium,33.72,Revenue Profit Categories - Over The Counter,active,0
12-204,General Panel & T4,192.4,Revenue Profit Categories - Lab (external),active,0
18-207,Radiology Referral - Boundary Bay,80.0,Revenue Profit Categories - Radiology,active,0
65-263,Heartgard Plus 68mcg Blue Single Tab,5.0,Revenue Profit Categories - Drug and Medications,inactive,1
65-263,Heartgard Plus 68mcg Blue Single Tab,5.0,Parasiticides_Internal - Heartgard,inactive,1
12-606,LymeQuant C6 - ELISA,176.0,Revenue Profit Categories - Lab (external),active,0
12-204,General Panel & T4,192.4,Testing - Wellness Bloodwork,active,0
12-306,Urinalysis - Add On (blood in house),45.0,Revenue Profit Categories - Lab (in-house),active,0
12-611,Leishmania Antibody Titre by IFA(Export),337.95,Revenue Profit Categories - Lab (external),active,0
22-6,Ehmer Bandage,49.8,Revenue Profit Categories - Professional Services (Other),active,0
30-1007,Elavil 10mg tablet,0.15,Revenue Profit Categories - Drug and Medications,active,0
63-105,Maxidex Drops 5ml,24.89,Revenue Profit Categories - Drug and Medications,active,0
63-23,Optimmune Ophthalmic 3.5g,66.81,Revenue Profit Categories - Drug and Medications,active,0
52-107,Baytril 50mg Flavour Tablet,2.6,Revenue Profit Categories - Drug and Medications,active,0
3-24,Lyme Vaccine 2nd,28.3,Revenue Profit Categories - Vaccines,active,0
3-24,Lyme Vaccine 2nd,28.3,Vaccinations - Lyme,active,0
65-225,Advantage Multi Canine Red Per Vial,23.35,Revenue Profit Categories - Drug and Medications,active,1
65-225,Advantage Multi Canine Red Per Vial,23.35,Parasiticides_Combo - Advantage Multi,active,1
1-38,Medical Progress Examination-Rodent,39.8,Revenue Profit Categories - Exams,active,0
93-525,RC FE Renal Support D Can (85gr),2.3,Diet Manufacturers - Royal Canin,active,0
93-525,RC FE Renal Support D Can (85gr),2.3,Revenue Profit Categories - Diet Revenue,active,0
102-321,Animal Odor Eliminator Wipes 80pkg,24.78,Revenue Profit Categories - Over The Counter,active,0
1-38,Medical Progress Examination-Rodent,39.8,Other - Med Prog Exam,active,0
102-319,Pure Bites Feline Shrimp 8g,4.51,Revenue Profit Categories - Over The Counter,active,0
102-500,Bat Submission,65.0,Revenue Profit Categories - Lab (external),active,0
12-61,Prothrombin & PTT,173.95,Revenue Profit Categories - Lab (external),active,0
11-6,Aural Cytology,38.11,Revenue Profit Categories - Lab (in-house),active,0
11-11,Fluorescein Dye,23.8,Revenue Profit Categories - Diagnostic Imaging,active,0
50-22,Mirtazapine 2mg Tablet,0.86,Revenue Profit Categories - Drug and Medications,active,0
12-21,T4 (Total) - Add On,51.15,Revenue Profit Categories - Lab (external),active,0
15-1,Local Anesthesia,39.5,Revenue Profit Categories - Anesthesia,active,0
12-555,Spec FPL-Advantage Add on,110.6,Revenue Profit Categories - Lab (external),active,0
100-188,Canine J/D 12.5kg,144.99,Diet Manufacturers - Hill's,active,0
100-188,Canine J/D 12.5kg,144.99,Revenue Profit Categories - Diet Revenue,active,0
65-47,Interceptor Green Single Tab,6.82,Revenue Profit Categories - Drug and Medications,active,1
15-20,Topical Anesthesia,20.4,Revenue Profit Categories - Anesthesia,active,0
64-263,Surosolve Ear Cleaner 125ml,13.71,Revenue Profit Categories - Drug and Medications,active,0
12-57,Phenobarbital Test,130.9,Revenue Profit Categories - Lab (external),active,0
17-20,Extraction Deciduous Premolar,18.4,Revenue Profit Categories - Dentistry,active,0
64-263,Surosolve Ear Cleaner 125ml,13.71,Medication Breakout - Otics,active,0
93-209,RC FE Fibre - Can,3.02,Diet Manufacturers - Royal Canin,active,0
93-209,RC FE Fibre - Can,3.02,Revenue Profit Categories - Diet Revenue,active,0
1032,Acepromazine Inj per ml,1.04,Revenue Profit Categories - Anesthesia,active,0
7-96,Metacam Injection per ml,11.98,Revenue Profit Categories - Injections,active,0
100-252,Feline C/D MultiCare 1.81kg,34.18,Diet Manufacturers - Hill's,active,0
100-252,Feline C/D MultiCare 1.81kg,34.18,Revenue Profit Categories - Diet Revenue,active,0
14-719,Canine Mature Charge 1-20kg,107.8,Revenue Profit Categories - Surgery,active,0
12-75,Necropsy - Multiple Tissue Samples,527.18,Revenue Profit Categories - Lab (external),active,0
70-427,Therabites Hip & Joint Cat/Small Dog 60,20.48,Revenue Profit Categories - Over The Counter,active,0
93-288,RC K9 Adult Small Dog 4kg,38.83,Diet Manufacturers - Royal Canin,active,0
93-288,RC K9 Adult Small Dog 4kg,38.83,Revenue Profit Categories - Diet Revenue,active,0
93-53,RC FE Urinary SO 3.5kg,56.96,Diet Manufacturers - Royal Canin,active,0
93-53,RC FE Urinary SO 3.5kg,56.96,Revenue Profit Categories - Diet Revenue,active,0
71-3,Maxi-guard Oral Gel 118ml,37.68,Revenue Profit Categories - Over The Counter,active,0
63-106,Optixcare Eye Health 20gr,26.62,Revenue Profit Categories - Drug and Medications,active,0
71-19,CET Enzymatic Chews K-9 X-Large,37.08,Revenue Profit Categories - Over The Counter,active,0
12-77,Ionized Calcium,153.45,Revenue Profit Categories - Lab (external),active,0
67-37,Viaderm KC Cream 15gr,14.58,Revenue Profit Categories - Drug and Medications,active,0
67-37,Viaderm KC Cream 15gr,14.58,Medication Breakout - Derm,active,0
70-111,Glucosamine 500mg Chewable - 180 tablets,57.38,Revenue Profit Categories - Over The Counter,active,0
93-216,RC FE Hypoallergenic Select Prot. 2kg,36.24,Diet Manufacturers - Royal Canin,active,0
93-216,RC FE Hypoallergenic Select Prot. 2kg,36.24,Revenue Profit Categories - Diet Revenue,active,0
93-281,RC K9 Calm 4kg,54.88,Diet Manufacturers - Royal Canin,active,0
93-281,RC K9 Calm 4kg,54.88,Revenue Profit Categories - Diet Revenue,active,0
93-290,RC K9 Mature Consult Sm. Dog 3.5kg,36.76,Diet Manufacturers - Royal Canin,active,0
93-290,RC K9 Mature Consult Sm. Dog 3.5kg,36.76,Revenue Profit Categories - Diet Revenue,active,0
40-125,Pear Tree Pawprint,97.5,Revenue Profit Categories - Euthanasia & Cremation,active,0
62-65,Proin (PPA) Chewable Tablet 75mg,1.25,Revenue Profit Categories - Drug and Medications,active,0
67-38,Taro Mupirocin 2% 15gm,16.09,Revenue Profit Categories - Drug and Medications,active,0
67-38,Taro Mupirocin 2% 15gm,16.09,Medication Breakout - Otics,active,0
100-187,Canine J/D 3.85kg,51.79,Diet Manufacturers - Hill's,active,0
100-187,Canine J/D 3.85kg,51.79,Revenue Profit Categories - Diet Revenue,active,0
301-1,Histology - 1 Tissue (True North),109.59,Revenue Profit Categories - Lab (external),active,0
10-169,Leukeran 2 mg Tablet,3.96,Revenue Profit Categories - Drug and Medications,active,0
53-22,Potassium Bromide 800mg Capsule,0.92,Revenue Profit Categories - Drug and Medications,active,0
101-110,Advantage II Canine Green Per Vial,14.67,Revenue Profit Categories - Drug and Medications,active,1
101-110,Advantage II Canine Green Per Vial,14.67,Parasiticides_External - Advantage,active,1
70-333,Osteosupport Plus Canine (60),50.2,Revenue Profit Categories - Over The Counter,active,0
7-9,Atropine Inj 0.5mg/ml per ml,0.77,Revenue Profit Categories - Injections,active,0
71-12,CET Toothpaste Vanilla Mint 70gm,12.65,Revenue Profit Categories - Over The Counter,active,0
16-8,Cystotomy,506.94,Revenue Profit Categories - Surgery,active,0
70-223,Osteosupport FE Joint Care Caps (60),47.13,Revenue Profit Categories - Over The Counter,active,0
12-305,Senior Panel & Fructosamine/Urinalysis,258.0,Revenue Profit Categories - Lab (external),active,0
12-305,Senior Panel & Fructosamine/Urinalysis,258.0,Testing - Wellness Bloodwork,active,0
1-1001,Osurnia Inventory,0.0,Revenue Profit Categories - Drug and Medications,active,0
1-18,Health Certificate,47.6,Revenue Profit Categories - Professional Services (Other),active,0
1-1001,Osurnia Inventory,0.0,Medication Breakout: Otics - Osurnia,active,0
93-337,RC Feline Mature Consult Mod Cal 2kg,31.61,Diet Manufacturers - Royal Canin,active,0
93-337,RC Feline Mature Consult Mod Cal 2kg,31.61,Revenue Profit Categories - Diet Revenue,active,0
1-1001,Osurnia Inventory,0.0,Medication Breakout - Otics,active,0
15-14,Anesthetic Induction + 10 min. Isoflura,162.33,Revenue Profit Categories - Anesthesia,active,0
16-202,Special Surgical Pack,99.7,Revenue Profit Categories - Surgery,active,0
70-301,Hilary's Blend Canine 350gr,43.26,Revenue Profit Categories - Over The Counter,active,0
72-10,Hepato Support Liquid 120ml,56.31,Revenue Profit Categories - Over The Counter,active,0
1-37,Nail Trim - Rabbit,21.3,Revenue Profit Categories - Professional Services (Other),active,0
51-5,Deramaxx 25mg Tab,2.54,Revenue Profit Categories - Drug and Medications,active,0
51-5,Deramaxx 25mg Tab,2.54,Medication Breakout - Pain,active,0
93-456,RC FE Urinary SO + Satiety 8kg,142.93,Diet Manufacturers - Royal Canin,active,0
93-456,RC FE Urinary SO + Satiety 8kg,142.93,Revenue Profit Categories - Diet Revenue,active,0
12-615,Spec CPL - Follow Up,145.25,Revenue Profit Categories - Lab (external),active,0
70-245,Glandex Peanut Butter Chews (60),63.94,Revenue Profit Categories - Over The Counter,active,0
16-21,Third Eyelid Flap,161.0,Revenue Profit Categories - Surgery,active,0
53-14,Diazepam 5mg/ml Liquid,1.56,Revenue Profit Categories - Drug and Medications,active,0
52-53,Metronidazole 100mg/ml,0.51,Revenue Profit Categories - Drug and Medications,active,0
100-632,Canine D/D 7.98kg - Duck,85.94,Diet Manufacturers - Hill's,active,0
100-632,Canine D/D 7.98kg - Duck,85.94,Revenue Profit Categories - Diet Revenue,active,0
70-69,FortiFlora Canine Sachet,1.77,Diet - Probiotics - Fortiflora,active,0
100-785,Injection Fee Client Own Meds per inj,15.0,Revenue Profit Categories - Injections,active,0
70-69,FortiFlora Canine Sachet,1.77,Revenue Profit Categories - Over The Counter,active,0
16-201,Standard Surgical Pack,56.7,Revenue Profit Categories - Surgery,active,0
14-26,Pregnancy Charge - Late,95.6,Revenue Profit Categories - Surgery,active,0
102-36,Caninsulin Syringes 0.5cc 100/box,69.33,Revenue Profit Categories - Injections,inactive,0
600-623,Canine Metabolic & Mobility 4.31kg,61.1,Diet Manufacturers - Hill's,active,0
600-623,Canine Metabolic & Mobility 4.31kg,61.1,Revenue Profit Categories - Diet Revenue,active,0
70-207,K-Gluconate 468mg Chews,1.15,Revenue Profit Categories - Over The Counter,active,0
93-532,RC FE Anallergenic 2.5kg,65.76,Diet Manufacturers - Royal Canin,active,0
93-532,RC FE Anallergenic 2.5kg,65.76,Revenue Profit Categories - Diet Revenue,active,0
94-34,PVD Canine Senior 3.6kg,25.98,Diet Manufacturers - Purina,active,0
94-34,PVD Canine Senior 3.6kg,25.98,Revenue Profit Categories - Diet Revenue,active,0
300-4,Recheck 4days,0.0,Revenue Profit Categories - Exams,active,0
1-52,Nail Trim - Guinea Pig,15.9,Revenue Profit Categories - Professional Services (Other),active,0
100-528,Canine Metabolic Can,4.66,Diet Manufacturers - Hill's,active,0
100-528,Canine Metabolic Can,4.66,Revenue Profit Categories - Diet Revenue,active,0
100-254,Feline C/D MultiCare 7.98kg,89.06,Diet Manufacturers - Hill's,active,0
100-254,Feline C/D MultiCare 7.98kg,89.06,Revenue Profit Categories - Diet Revenue,active,0
52-536,Azithromycin 30mg/ml per ml,1.13,Revenue Profit Categories - Drug and Medications,active,0
16-104,Penrose Drain & Placement,53.0,Revenue Profit Categories - Surgery,active,0
65-255,Trifexis Brown 1620mg Per Tablet,25.46,Revenue Profit Categories - Drug and Medications,active,1
65-255,Trifexis Brown 1620mg Per Tablet,25.46,Parasiticides_Combo - Trifexis,active,1
105-20,Rayne Canine Adult Health RSS 3kg,41.8,Revenue Profit Categories - Diet Revenue,active,0
12-168,Feline Calicivirus Real PCR,198.55,Revenue Profit Categories - Lab (external),active,0
53-9,Phenobarbital 15mg Tablets,0.3,Revenue Profit Categories - Drug and Medications,active,0
65-400,Panacur 10% Suspension per ml,0.33,Revenue Profit Categories - Drug and Medications,active,0
65-301,Nexgard Blue 28.3 mg Per Tablet,20.26,Revenue Profit Categories - Drug and Medications,active,1
