PMS Code,PMS Code Description,$ Value,Reporting Category,Active/Inactive,Dose Count
mcrcfd4,RC VDIET Feline Diabetic 4kg,53.2,Diet Types - Diabetes,active,0
Tx3820,***Laser Therapy Add'l Site Package - 10 treatmentsDO NOT USE,90.0,Revenue Profit Categories - Integrative Therapies,active,0
Rx7222,**Sucralfate 200mg/ml Suspension,0.66,Revenue Profit Categories - Drug and Medications,active,0
Rx1901,***Baytril Otic 30ml DO NOT USE,55.64,Medication Breakout - Otics,active,0
Rx2537,***Intervet Syringes Vetsulin U-40 1cc 28x1/2 100/box,50.85,Revenue Profit Categories - Injections,active,0
Rx2538,***Caninsulin Syringes U40 0.5cc 29g Box 30 DO NOT USE,15.26,Revenue Profit Categories - Injections,active,0
Rx6381,***Prednisolone Acetate Ophth 1% Sol 10ml DO NOT USE,43.46,Revenue Profit Categories - Drug and Medications,active,0
Sx4250,Enterotomy,354.0,Revenue Profit Categories - Surgery,active,0
pIM3600,***Hydromorphone 2mg/ml DO NOT USE,31.2,Revenue Profit Categories - Injections,active,0
PDcddps8,*** PR Diet K9 D/D Potato/Salmon 8kg DO NOT USE,77.09,Diet Manufacturers - Hill's,active,0
PDcddps8,*** PR Diet K9 D/D Potato/Salmon 8kg DO NOT USE,77.09,Revenue Profit Categories - Diet Revenue,active,0
PDcddps8,*** PR Diet K9 D/D Potato/Salmon 8kg DO NOT USE,77.09,Diet Types - Derm Diet,active,0
PDctdpp6,PR Diet Canine T/D Small Bite Prof Pack 6.8kg STAFF ONLY 5% markup,37.51,Diet Manufacturers - Hill's,active,0
PDctdpp6,PR Diet Canine T/D Small Bite Prof Pack 6.8kg STAFF ONLY 5% markup,37.51,Revenue Profit Categories - Diet Revenue,active,0
PDctdpp6,PR Diet Canine T/D Small Bite Prof Pack 6.8kg STAFF ONLY 5% markup,37.51,Diet Types - Dental,active,0
Rx6751,***Ranitidine HCL 100mg/ml TD Gel,8.48,Revenue Profit Categories - Drug and Medications,active,0
PVD2100,***PVD Canine Hypoallergenic 14.5kg,145.39,Diet Manufacturers - Purina,active,0
PVD2100,***PVD Canine Hypoallergenic 14.5kg,145.39,Revenue Profit Categories - Diet Revenue,active,0
PVD2100,***PVD Canine Hypoallergenic 14.5kg,145.39,Diet Types - Allergy,active,0
Tx6500,Tube Feeding,14.5,Revenue Profit Categories - Hospitalization,active,0
RX119,***Liu Jun Zi Tang 100g,65.0,Revenue Profit Categories - Over The Counter,active,0
Rx6752,***Ranitidine HCL 150mg/ml TD Gel,10.86,Revenue Profit Categories - Drug and Medications,active,0
IM6025,***Zantac 50mg/2ml,3.18,Revenue Profit Categories - Drug and Medications,active,0
MCRCkmic,RC VDIET Canine Mature Consult15 kg In-Clinic -STAFF ONLY,57.75,Diet Manufacturers - Royal Canin,active,0
MCRCkmic,RC VDIET Canine Mature Consult15 kg In-Clinic -STAFF ONLY,57.75,Revenue Profit Categories - Diet Revenue,active,0
MCRCkmic,RC VDIET Canine Mature Consult15 kg In-Clinic -STAFF ONLY,57.75,Diet Types - Wellness / Lifestage,active,0
RP8299,***Siphotrol 1000 227g DO NOT USE,20.64,Revenue Profit Categories - Over The Counter,active,0
zIM3600,***Hydromorphone inj 2mg/ml DO NOT USE,0.0,Revenue Profit Categories - Injections,active,0
MCRCk9p8,***MCRC Canine Reduced Protein 2kg,23.18,Diet Manufacturers - Royal Canin,active,0
RP3920,***Elimin-Odor Spray Canine 236ml,17.2,Revenue Profit Categories - Over The Counter,active,0
MCRCkads,RC VDIET Canine Adult Small Dog 1.5kg,12.16,Diet Manufacturers - Royal Canin,active,0
MCRCkads,RC VDIET Canine Adult Small Dog 1.5kg,12.16,Revenue Profit Categories - Diet Revenue,active,0
MCRCk9p8,***MCRC Canine Reduced Protein 2kg,23.18,Revenue Profit Categories - Diet Revenue,active,0
MCRCkads,RC VDIET Canine Adult Small Dog 1.5kg,12.16,Diet Types - Wellness / Lifestage,active,0
RP2766,CET CHX Dental Rinse 237ml,13.28,Revenue Profit Categories - Over The Counter,active,0
IM7025,***Sodium Chloride 1000ml,0.56,Revenue Profit Categories - Fluid Therapy,active,0
MCRCk9p8,***MCRC Canine Reduced Protein 2kg,23.18,Diet Types - Renal,active,0
Rx3683,***Prednisolone 10mg/mlDO NOT USE,1.42,Revenue Profit Categories - Drug and Medications,active,0
Rx7190,Strongid T Dewormer,0.34,Revenue Profit Categories - Drug and Medications,active,0
Rx3683,***Prednisolone 10mg/mlDO NOT USE,1.42,Medication Breakout - Derm,active,0
PVD2344,PVD Feline EN Gastroenteric 2.72kg,50.65,Diet Manufacturers - Purina,active,0
Rx5401,***Metoclopramide HCL 10mg/2ml DO NOT USE,7.6,Revenue Profit Categories - Drug and Medications,active,0
PVD2344,PVD Feline EN Gastroenteric 2.72kg,50.65,Revenue Profit Categories - Diet Revenue,active,0
PVD2344,PVD Feline EN Gastroenteric 2.72kg,50.65,Diet Types - Gastro,active,0
RP4150,***Essentials Dogs 226g/8oz,47.08,Revenue Profit Categories - Over The Counter,active,0
RP8411,Soft Paws Feline Take Home Kit Kitten Small-Assorted colors,28.22,Revenue Profit Categories - Over The Counter,active,0
Rx7612,***Soloxine 0.3mg TabletDO NOT USE,0.12,Revenue Profit Categories - Drug and Medications,active,0
RP6820,Comfortis Canine 2.3-4.5kg/Feline 1.9-2.7kg,13.95,Revenue Profit Categories - Drug and Medications,active,1
RP6820,Comfortis Canine 2.3-4.5kg/Feline 1.9-2.7kg,13.95,Parasiticides_External - Comfortis,active,1
PDfcd5,PR Diet Feline C/D Multicare Chicken 1.81kg,34.73,Diet Manufacturers - Hill's,active,0
RP6124,***Novifit L 400mg 30 tabs (Box) DO NOT USE,77.46,Revenue Profit Categories - Over The Counter,active,0
RP4696,Greenies Pill Pockets Canine Hickory Large 7.9oz,13.36,Revenue Profit Categories - Over The Counter,active,0
PDfcd5,PR Diet Feline C/D Multicare Chicken 1.81kg,34.73,Revenue Profit Categories - Diet Revenue,active,0
PDfcd5,PR Diet Feline C/D Multicare Chicken 1.81kg,34.73,Diet Types - Urinary,active,0
Rx5270,Metacam Oral Suspension 1.5mg/ml - 100ml,126.6,Revenue Profit Categories - Drug and Medications,active,0
PDfid4,PR Diet Feline I/D 1.81kg,36.91,Diet Manufacturers - Hill's,active,0
PDfid4,PR Diet Feline I/D 1.81kg,36.91,Revenue Profit Categories - Diet Revenue,active,0
PDfid4,PR Diet Feline I/D 1.81kg,36.91,Diet Types - Gastro,active,0
Rx5270,Metacam Oral Suspension 1.5mg/ml - 100ml,126.6,Medication Breakout - Pain,active,0
Rx5125,Milbemax 16mg tablets,19.68,Revenue Profit Categories - Drug and Medications,active,1
Dis7000,***Dr Smith Consultation Fee Refund with Surgery DO NOT USE,-75.0,Revenue Profit Categories - Surgery,active,0
Rx5125,Milbemax 16mg tablets,19.68,Parasiticides_Internal - Milbemax,active,1
Ax1400,Anesthesia-Local,35.0,Revenue Profit Categories - Anesthesia,active,0
Rx4900,Interceptor Flavor Tabs Yellow 11.5mg,11.42,Revenue Profit Categories - Drug and Medications,active,1
Rx4900,Interceptor Flavor Tabs Yellow 11.5mg,11.42,Parasiticides_Internal - Interceptor,active,1
DS2400,Extraction-Dental-minor,30.0,Revenue Profit Categories - Dentistry,active,0
Bo3200,**Administer Meds per day if >4 administrations- Patient's Own Meds DO NOT USE,12.5,Revenue Profit Categories - Boarding,active,0
Dis6000,***Promo Pet Food Discount (enter item!) DO NOT USE,-1.0,Diet Manufacturers - Hill's,active,0
Dis6000,***Promo Pet Food Discount (enter item!) DO NOT USE,-1.0,Revenue Profit Categories - Diet Revenue,active,0
Rx1871,***Advantage Multi-Duo Canine<4.5kg,128.0,Revenue Profit Categories - Drug and Medications,active,6
Rx1871,***Advantage Multi-Duo Canine<4.5kg,128.0,Parasiticides_Combo - Advantage Multi,active,6
Rx4990,***Lactulose Syrup,0.04,Revenue Profit Categories - Drug and Medications,active,0
IM2152,Cartrophen 10ml bottle,153.22,Revenue Profit Categories - Injections,active,0
MCRCk9c1,***MCRC Canine MEDI TREATS 500gm,13.66,Revenue Profit Categories - Over The Counter,active,0
Xr2505,Dental X-Ray Add On,30.0,Revenue Profit Categories - Dentistry,active,0
PDcud12,PR Diet Canine U/D 12.5kg,150.91,Diet Manufacturers - Hill's,active,0
PDcud12,PR Diet Canine U/D 12.5kg,150.91,Revenue Profit Categories - Diet Revenue,active,0
Rx4910,Interceptor Flavor Tabs White 23mg,15.72,Revenue Profit Categories - Drug and Medications,active,1
Rx4910,Interceptor Flavor Tabs White 23mg,15.72,Parasiticides_Internal - Interceptor,active,1
Rx7650,Tobradex Ophthalmic Ointment 3.5g,32.24,Revenue Profit Categories - Drug and Medications,active,0
Rx7652,Maxitrol Opthalmic Suspension 5ml,30.74,Revenue Profit Categories - Drug and Medications,active,0
HS0854,Alpha Trak Test Strips per 10 strips,17.22,Revenue Profit Categories - Over The Counter,active,0
Rx1595,***Anipryl 15mg ( Net 30 Tablets),136.88,Revenue Profit Categories - Drug and Medications,active,0
Rx5337,Methimazole 30mg/ml TD Gel,6.78,Revenue Profit Categories - Drug and Medications,active,0
Rx7614,Azopt 1% 5ml,43.04,Revenue Profit Categories - Drug and Medications,active,0
Rx7920,Ursodiol 40mg capsules,1.4,Revenue Profit Categories - Drug and Medications,active,0
Rx8290,Zeniquin 50mg tablets,4.65,Revenue Profit Categories - Drug and Medications,active,0
SI7700,Endoscopy Procedure YPH,0.0,Revenue Profit Categories - Surgery,active,0
Dis1500,Vaccine Discount,-1.0,Revenue Profit Categories - Vaccines,active,0
Rx7354,Tacrolimus 0.02% Opth Oint 5g,62.63,Revenue Profit Categories - Drug and Medications,active,0
CF2000,Dextrose 5% Fluid1L bag,6.3,Revenue Profit Categories - Fluid Therapy,active,0
mcrcfsc1,RC VDIET Feline Senior Consult 165g can,3.21,Diet Manufacturers - Royal Canin,active,0
Rx6857,Bravecto Feline Topical 250mg 2.8-6.25kg,48.6,Revenue Profit Categories - Drug and Medications,active,3
Rx6857,Bravecto Feline Topical 250mg 2.8-6.25kg,48.6,Parasiticides_External - Bravecto,active,3
Rx8401,"Allergy Treatment Set, Sublingual - Refill (RSLT)",312.72,Revenue Profit Categories - Drug and Medications,active,0
mcrcfsc1,RC VDIET Feline Senior Consult 165g can,3.21,Revenue Profit Categories - Diet Revenue,active,0
Rx1592,***Anipryl 10mg (Net 30 Tablets),117.71,Revenue Profit Categories - Drug and Medications,active,0
DS1901,Dental Recheck,10.0,Revenue Profit Categories - Dentistry,active,0
Rx2883,Clay 100g (Rx Vitamins),38.78,Revenue Profit Categories - Over The Counter,active,0
Rx4322,Gabapentin Apo 100mg capsule,0.8,Revenue Profit Categories - Drug and Medications,active,0
FC1610  ,AfterCare Communal Cremation 1-25 lbs,60.0,Revenue Profit Categories - Euthanasia & Cremation,active,0
RX6747,Fentanyl Patch Mtx Sandoz 12mcg/h,4.3,Revenue Profit Categories - Drug and Medications,active,0
RX6747,Fentanyl Patch Mtx Sandoz 12mcg/h,4.3,Medication Breakout - Pain,active,0
Rx4322,Gabapentin Apo 100mg capsule,0.8,Medication Breakout - Pain,active,0
Rx7620,Tobradex Ophthalmic Suspension 5ml,31.24,Revenue Profit Categories - Drug and Medications,active,0
Rx8400,"Allergy Treatment Set, Sublingual - Initial (ISLT)",337.72,Revenue Profit Categories - Drug and Medications,active,0
TX4001,Nasolacrimal Duct Flush,59.0,Revenue Profit Categories - Professional Services (Other),active,0
Rx7677,Tramadol HCL 100mg Tablet,1.68,Revenue Profit Categories - Drug and Medications,active,0
Rx7677,Tramadol HCL 100mg Tablet,1.68,Medication Breakout - Pain,active,0
Tx3810,***Laser Therapy Single Treatment per site (Deep Tissue/Ortho/Art) DO NOT USE,25.5,Revenue Profit Categories - Integrative Therapies,active,0
HS8346,Ethilon Suture 4/0,5.0,Revenue Profit Categories - Surgery,active,0
Rx1205,Activated Charcoal Solution 222mg/ml TGH,0.09,Revenue Profit Categories - Drug and Medications,active,0
Rx5406,Metronidazole 50mg/ml,0.86,Revenue Profit Categories - Drug and Medications,active,0
Rx7674,Tramadol HCL 50mg tablets,1.06,Revenue Profit Categories - Drug and Medications,active,0
Rx7674,Tramadol HCL 50mg tablets,1.06,Medication Breakout - Pain,active,0
Tx4050,***Oropharyngeal Exam per 5 minutes DO NOT USE,35.5,Revenue Profit Categories - Exams,active,0
Rx4635,Propalin 50mg/ml 30 ml,37.48,Revenue Profit Categories - Drug and Medications,active,0
FC1630,AfterCare Communal Cremation 51-75 lbs,125.0,Revenue Profit Categories - Euthanasia & Cremation,active,0
Rx7000,Stilbestrol Tabs 1mg,1.15,Revenue Profit Categories - Drug and Medications,active,0
Sx7450,Splenectomy,354.0,Revenue Profit Categories - Surgery,active,0
FC1300,Private Cremation < 4 lbs.,120.0,Revenue Profit Categories - Euthanasia & Cremation,active,0
FC1620,AfterCare Communal Cremation 26-50 lbs,95.0,Revenue Profit Categories - Euthanasia & Cremation,active,0
TN1301,Feline Leukemia Virus FeLV ELISA (640),43.8,Revenue Profit Categories - Vaccines,active,0
TN1301,Feline Leukemia Virus FeLV ELISA (640),43.8,Vaccinations - FELV,active,0
IM1927,Buprenorphine 300mcg/ml Injectable,17.98,Revenue Profit Categories - Injections,active,0
Rx1705,Meloxicam Apo Oral Susp 1.5mg/ml- 180ml,93.3,Revenue Profit Categories - Drug and Medications,active,0
Rx1705,Meloxicam Apo Oral Susp 1.5mg/ml- 180ml,93.3,Medication Breakout - Pain,active,0
Rx2885,Anxitane Small 50mg Chews,1.38,Revenue Profit Categories - Over The Counter,active,0
Tx3814,***Laser Therapy Package per site (Skin/Ears/Soft Tissue) - 6DO NOT USE,81.0,Revenue Profit Categories - Integrative Therapies,active,0
mcrcfmc3,RC VDIET Feline Mature Consult 10kg,126.77,Diet Manufacturers - Royal Canin,active,0
mcrcfmc3,RC VDIET Feline Mature Consult 10kg,126.77,Revenue Profit Categories - Diet Revenue,active,0
mcrcfmc3,RC VDIET Feline Mature Consult 10kg,126.77,Diet Types - Wellness / Lifestage,active,0
LaC3000,Fungal Serology Panel (FUNS),333.9,Revenue Profit Categories - Lab (external),active,0
Tx1300,***Abscess Drain & Lance DO NOT USE,42.5,Revenue Profit Categories - Professional Services (Other),active,0
LaC1046,Feline Pancreatic Lipase (FPLI),141.9,Revenue Profit Categories - Lab (external),active,0
LaC2060,Acetylcholine Receptor Antibody (Myasthenia Gravis - ARAB),332.93,Revenue Profit Categories - Lab (external),active,0
Ax2655P,Monitor - ECG/SpO2/Doppler,25.0,Revenue Profit Categories - Diagnostic Imaging,active,0
LaH4732,*** Do not use Heartworm Snap Test,30.08,Revenue Profit Categories - Lab (in-house),active,0
Rx1201,*** DISC Activated Charcoal Charcodote Oral Suspension (per ml) TGH,0.18,Revenue Profit Categories - Drug and Medications,active,0
Rx3058,Deramaxx 100mg tablets,4.33,Revenue Profit Categories - Drug and Medications,active,0
Rx3058,Deramaxx 100mg tablets,4.33,Medication Breakout - Pain,active,0
Rx5250,Metacam Oral Suspension 1.5 mg/ml -10ml,27.8,Revenue Profit Categories - Drug and Medications,active,0
Rx5250,Metacam Oral Suspension 1.5 mg/ml -10ml,27.8,Medication Breakout - Pain,active,0
Rx6416,Prednisone 1mg Tablet,0.44,Revenue Profit Categories - Drug and Medications,active,0
Rx6416,Prednisone 1mg Tablet,0.44,Medication Breakout - Derm,active,0
Rx7918,Tylan Capsules 150mg,0.68,Revenue Profit Categories - Drug and Medications,active,0
Rx7673,Tramadol 10mg tablets,0.64,Revenue Profit Categories - Drug and Medications,active,0
Rx7673,Tramadol 10mg tablets,0.64,Medication Breakout - Pain,active,0
LaH4732,*** Do not use Heartworm Snap Test,30.08,Testing - Heartworm Test,active,0
Rx5245,Metacam Oral Suspension 1.5 mg/ml,2.26,Revenue Profit Categories - Drug and Medications,active,0
Rx5245,Metacam Oral Suspension 1.5 mg/ml,2.26,Medication Breakout - Pain,active,0
Rx6881,Rimadyl 100mg chews,2.78,Revenue Profit Categories - Drug and Medications,active,0
Rx6881,Rimadyl 100mg chews,2.78,Medication Breakout - Pain,active,0
Sx8450,Urinary Tract Obstruction-Unblock FLUTD,66.0,Revenue Profit Categories - Professional Services (Other),active,0
TN1090,*** Canine Distemper and Parvo Titre - True North DO NOT USE,68.26,Revenue Profit Categories - Lab (external),active,0
mcrcfsc,RC VDIET Feline Senior Consult 1.5kg,30.93,Diet Manufacturers - Royal Canin,active,0
mcrcfsc,RC VDIET Feline Senior Consult 1.5kg,30.93,Revenue Profit Categories - Diet Revenue,active,0
mcrcfsc,RC VDIET Feline Senior Consult 1.5kg,30.93,Diet Types - Wellness / Lifestage,active,0
LaC1044,Feline Screen with UA & T4 (FST4UW),235.9,Revenue Profit Categories - Lab (external),active,0
LaC1044,Feline Screen with UA & T4 (FST4UW),235.9,Testing - Wellness Bloodwork,active,0
LaC8155,Respiratory Disease RealPCR Panel Comprehensive - Canine (CRDD),273.9,Revenue Profit Categories - Lab (external),active,0
RX5263,Metacam 2.5mg chews,4.0,Revenue Profit Categories - Drug and Medications,active,0
Sx2280P,Surgical Fee per 10 min,51.0,Revenue Profit Categories - Surgery,active,0
Tx6200,Splint Change with DVM,45.5,Revenue Profit Categories - Professional Services (Other),active,0
Rx3466,Famotidine 2.5 mg Tablet,0.7,Revenue Profit Categories - Drug and Medications,active,0
Rx7552,ThyroTabs 0.2mg tablets,0.24,Revenue Profit Categories - Drug and Medications,active,0
RX5263,Metacam 2.5mg chews,4.0,Medication Breakout - Pain,active,0
HS0001,Shipping Charge,60.45,Revenue Profit Categories - Professional Services (Other),active,0
Si7050,MPL Surgery with Dr Smith,0.0,Revenue Profit Categories - Surgery,active,0
mcrckac2,RC VDIET Canine Adult 385g CASE,49.93,Diet Manufacturers - Royal Canin,active,0
mcrckac2,RC VDIET Canine Adult 385g CASE,49.93,Revenue Profit Categories - Diet Revenue,active,0
LaC8372,Thyroid - Free T4 and cTSH (FT4TSH),139.9,Revenue Profit Categories - Lab (external),active,0
Rx1460,***Amoxicillin 100mg Tablets DO NOT USE,0.49,Revenue Profit Categories - Drug and Medications,active,0
LaH1350,Buccal Mucosal Bleed Time IH,15.0,Revenue Profit Categories - Lab (in-house),active,0
Rx4917,Itrafungol ml,2.35,Revenue Profit Categories - Drug and Medications,active,0
Rx7654,Muro 128 5% Ointment,39.1,Revenue Profit Categories - Drug and Medications,active,0
Rx7912,Tylan Capsules 340mg,1.4,Revenue Profit Categories - Drug and Medications,active,0
SI1500,Canine Mature Spay 11 - 20 kg,0.0,Revenue Profit Categories - Surgery,active,0
Rx3290,Diazepam Apo 5mg tablet,0.15,Revenue Profit Categories - Drug and Medications,active,0
SI1000,Canine Immature Spay < 10kg,0.0,Revenue Profit Categories - Surgery,active,0
Sx2155P,Surgery Minor/ 10 Min-Pkg Item,61.0,Revenue Profit Categories - Surgery,active,0
Sx7500,Surgery Site Recheck,0.0,Revenue Profit Categories - Exams,active,0
TN1006,Cytology Transtracheal Wash - True North,70.8,Revenue Profit Categories - Lab (external),active,0
Rx3904,Epakitin 60g,27.08,Revenue Profit Categories - Over The Counter,active,0
mcrck9cs,RC VDIET Canine Medi Chews Small 92g,8.62,Revenue Profit Categories - Over The Counter,active,0
Rx4160,Formula CV (Rx Vitamins) 90 Caps,94.2,Revenue Profit Categories - Over The Counter,active,0
HS5351,IV Set Extension,5.62,Revenue Profit Categories - Fluid Therapy,active,0
LaC8370,Thyroid - T4 Free (FT4),99.9,Revenue Profit Categories - Lab (external),active,0
LaH3900,Hematocrit/ Serum Protein,21.0,Revenue Profit Categories - Lab (in-house),active,0
Rx7220,Sucralate Teva 1g tablet,0.66,Revenue Profit Categories - Drug and Medications,active,0
SI1400,Canine Mature Spay < 10 kg,0.0,Revenue Profit Categories - Surgery,active,0
SI3002,Dental Cleaning G2--Canine,0.0,Revenue Profit Categories - Dentistry,active,0
SI3002,Dental Cleaning G2--Canine,0.0,Preventive Care Snapshot - Dental Prophy,active,0
SI1300,Canine Immature Spay > 40kg,0.0,Revenue Profit Categories - Surgery,active,0
SI6000,Emergency Treatment,0.0,Revenue Profit Categories - Professional Services (Other),active,0
Rx7551,ThyroTabs 0.1mg tablets,0.14,Revenue Profit Categories - Drug and Medications,active,0
Rx7657,***3-Biotic Opthalmic Ointment 3.5g DO NOT USE,17.2,Revenue Profit Categories - Drug and Medications,active,0
SI3007,Dental Cleaning G4--Feline,0.0,Revenue Profit Categories - Dentistry,active,0
SI3007,Dental Cleaning G4--Feline,0.0,Preventive Care Snapshot - Dental Prophy,active,0
Si4100f,Senior Month Package Feline - 10% discount to lab charges,0.0,Revenue Profit Categories - Lab (external),active,0
TN1050,ACTH Response Test 2 Samples - True North,115.9,Revenue Profit Categories - Lab (external),active,0
Tx6300,Stomach Tube,35.0,Revenue Profit Categories - Professional Services (Other),active,0
mcrcfus2,RC VDIET Feline Urinary SO 1.5Kg,29.31,Diet Manufacturers - Royal Canin,active,0
mcrcfus2,RC VDIET Feline Urinary SO 1.5Kg,29.31,Revenue Profit Categories - Diet Revenue,active,0
mcrcfus2,RC VDIET Feline Urinary SO 1.5Kg,29.31,Diet Types - Urinary,active,0
LaC6095,Diarrhea Panel Canine Comprehensive ADD-ON (CDCDa),141.9,Revenue Profit Categories - Lab (external),active,0
Sx6810,Stenotic Nares Correction,202.0,Revenue Profit Categories - Surgery,active,0
Tx3824,***Laser Therapy Package (Post Orthopedic Surgery Only) - 8 Treatments DO NOT US,197.0,Revenue Profit Categories - Integrative Therapies,active,0
LaH3852a,LAB REQ CPLi Combo,0.0,Revenue Profit Categories - Lab (external),active,0
Lac7070,Feline Viral 2 ELISA (FV2) FeLV and FIV,129.9,Revenue Profit Categories - Lab (external),active,0
Lac7070,Feline Viral 2 ELISA (FV2) FeLV and FIV,129.9,Testing - FELV-FIV Test,active,0
MCRCK9H6,RC VDIET Canine Hypo HP 390g CASE,58.58,Diet Manufacturers - Royal Canin,active,0
MCRCK9H6,RC VDIET Canine Hypo HP 390g CASE,58.58,Revenue Profit Categories - Diet Revenue,active,0
MCRCK9H6,RC VDIET Canine Hypo HP 390g CASE,58.58,Diet Types - Allergy,active,0
LaC8156,Respiratory Disease RealPCR FelineUpper (FURD),273.9,Revenue Profit Categories - Lab (external),active,0
MCRCk9gd,RC VDIET Canine GI Low Fat 13kg,153.06,Diet Manufacturers - Royal Canin,active,0
TN1302,FeLV/FIV ELISA TN (646),91.2,Revenue Profit Categories - Lab (external),active,0
TN1302,FeLV/FIV ELISA TN (646),91.2,Testing - FELV-FIV Test,active,0
Tx3814a,***Laser Therapy Package per site (Deep Tissue/Ortho/Arts) - 6 DO NOT USE,131.5,Revenue Profit Categories - Integrative Therapies,active,0
LaC8312,"Thyroid - T4, Total (T4)",71.9,Revenue Profit Categories - Lab (external),active,0
LAC4036,Babesia Gibsoni Profile (IFA + Smear) (BGP),268.43,Revenue Profit Categories - Lab (external),active,0
LaC3046,Cobalamin (Vit B12) Add-on (B12a),79.9,Revenue Profit Categories - Lab (external),active,0
LaH6250,Urine Specific Gravity IH,12.0,Revenue Profit Categories - Lab (in-house),active,0
Rx5765,Onsior 40mg Tablet Canine Box/28,88.28,Revenue Profit Categories - Drug and Medications,active,0
Rx5765,Onsior 40mg Tablet Canine Box/28,88.28,Medication Breakout - Pain,active,0
LaC1005,4Dx Plus Screen Canine (4DX),67.9,Revenue Profit Categories - Lab (external),active,0
LaC1005,4Dx Plus Screen Canine (4DX),67.9,Testing - Heartworm Test,active,0
LaC1082,Liver Panel (LIVERW),83.9,Revenue Profit Categories - Lab (external),active,0
RDfgicas,Rayne Feline Growth Sensitive GI 100g CASE,34.29,Revenue Profit Categories - Diet Revenue,active,0
PDckdca,PR Diet Canine K/D 354g Can Beef Stew,4.43,Diet Manufacturers - Hill's,active,0
PDckdca,PR Diet Canine K/D 354g Can Beef Stew,4.43,Revenue Profit Categories - Diet Revenue,active,0
PDckdca,PR Diet Canine K/D 354g Can Beef Stew,4.43,Diet Types - Renal,active,0
TN1005,Cytology Nasal Flush - True North,70.8,Revenue Profit Categories - Lab (external),active,0
TN1200,Dexamethasone Suppression (3 tubes) - True North,166.7,Revenue Profit Categories - Lab (external),active,0
Tx1351,Insulin Injection - patient's own meds,12.0,Revenue Profit Categories - Injections,active,0
DS2100,Extraction(s)-Deciduous Tooth,20.0,Revenue Profit Categories - Dentistry,active,0
SI1200,Canine Immature Spay 21 - 40kg,0.0,Revenue Profit Categories - Surgery,active,0
LaC8100,Potassium Bromide (BRO),125.9,Revenue Profit Categories - Lab (external),active,0
Lah4050,SDMA - Add on IH IDEXX,45.9,Revenue Profit Categories - Lab (external),active,0
LaH5500,***Parvo Antigen SNAP test IH,59.9,Revenue Profit Categories - Lab (in-house),active,0
MCRCfht,RC VDIET Feline Treats HP 220g,10.84,Revenue Profit Categories - Over The Counter,active,0
PDcldcan,PR Diet Canine L/D 370g Can,5.7,Diet Manufacturers - Hill's,active,0
PDcldcan,PR Diet Canine L/D 370g Can,5.7,Revenue Profit Categories - Diet Revenue,active,0
PDcldcan,PR Diet Canine L/D 370g Can,5.7,Diet Types - zOther Therapeutic,active,0
Tx2900,Drain Removal,0.0,Revenue Profit Categories - Professional Services (Other),active,0
RDtreat2,Rayne Canine/Feline Rewards SIT Rabbit Treats 200g,26.6,Revenue Profit Categories - Over The Counter,active,0
RP2442,Buster Collar 35,45.96,Revenue Profit Categories - Over The Counter,active,0
mcrcfsc1,RC VDIET Feline Senior Consult 165g can,3.21,Diet Types - Wellness / Lifestage,active,0
